"TIME","MAGN"
0.038,58.0312752423208
0.042,57.9489605709196
0.05,57.8911289620439
0.058,57.6940340286585
0.06,57.7014812418191
0.079,57.6345572334862
0.085,57.6186615277551
0.091,58.0417750956154
0.1,58.0179121047974
0.107,57.8786783388322
0.136,57.8939628761065
0.141,57.9983162471119
0.146,57.7684967672693
0.152,57.8022963968561
0.17,57.6691127250975
0.177,57.5541185537577
0.187,57.4040639894076
0.19,57.4843049231701
0.204,57.3599176799444
0.218,57.3440820835071
0.229,57.3462618659665
0.239,57.6049314295226
0.259,57.6250338936994
0.271,57.604321126978
0.279,57.6835724556827
0.294,57.7633574920122
0.299,57.8615670155933
0.311,58.0097648030054
0.32,57.8193577013789
0.33,57.7258133875132
0.339,57.724663002481
0.351,57.7078444624299
0.361,57.8980110841469
0.371,58.0146129220906
0.381,58.1091712318288
0.394,58.0928002208535
0.401,58.2075354872546
0.412,58.6700919336249
0.422,58.6127719123571
0.431,58.6138382231534
0.441,58.556663263031
0.451,58.4618933045279
0.462,58.5011685246543
0.472,58.5406843037387
0.482,58.798716503849
0.492,58.7536568010877
0.502,58.7783508721536
0.513,59.0629298926154
0.523,58.9976495824198
0.532,59.0098641118584
0.543,58.9455190726997
0.552,58.8652128276965
0.562,58.878450005074
0.572,58.8360407191035
0.582,58.7196064998736
0.593,58.6458518354026
0.603,58.6513133910913
0.614,58.5431865164513
0.623,58.1485503366163
0.633,58.0317127741376
0.643,57.8978424144631
0.654,57.8800281293124
0.664,57.7859060455056
0.675,58.0465195985082
0.684,57.9469382819317
0.693,57.9609917315085
0.704,58.052071183981
0.714,58.4290769330648
0.724,58.4857087244397
0.736,58.4668041498764
0.745,58.6005079436177
0.758,58.5804068140535
0.766,58.6610363657172
0.779,58.7822384951441
0.785,58.8879033100178
0.796,58.8311274964198
0.806,58.4701112214608
0.817,58.461826487461
0.826,58.3483946330145
0.836,58.3155813762497
0.846,58.2262558902769
0.856,57.7355907348318
0.869,57.6903100615693
0.883,57.7063214149888
0.894,58.2017302685238
0.905,58.1695058106049
0.909,58.0723551916056
0.921,58.0163298671159
0.933,57.8233773550975
0.947,58.2655558627908
0.951,58.1766235806961
0.964,58.1609431878473
0.972,58.0205715134727
0.994,57.9642602708773
0.999,57.926778943335
1.018,57.9841707925534
1.027,58.095220866264
1.031,58.0156902268688
1.042,58.0535178735966
1.049,57.9772988979307
1.059,57.8464089745422
1.069,57.7403603967796
